                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2663,                  6.987,                 3.0123,                0.45582,                0.30258,                0.26267,                0.17783,                 2.2872,                 5.7637,                 3.0359,              0.0033255,              0.0033255,              0.0033255
                      2,                 2.2699,                 4.3432,                 2.9101,                0.32758,                0.28881,                0.22022,                0.14349,                 2.5137,                 7.6269,                 3.2235,              0.0066259,              0.0066259,              0.0066259
                      3,                 2.5236,                 4.7933,                 3.0829,                0.22424,                0.15255,                0.06592,                0.03733,                 3.0229,                 13.053,                 3.8288,              0.0098933,              0.0098933,              0.0098933
                      4,                 2.6304,                 5.0244,                 3.1783,                0.38268,                0.28747,                0.23821,                0.14884,                 2.7278,                 6.2641,                 3.4979,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.5128,                 4.3873,                 3.0699,                0.44482,                0.35959,                0.32891,                0.21791,                 2.5233,                 6.2832,                 3.2626,               0.009802,               0.009802,               0.009802
                      6,                 2.4402,                  4.075,                 3.0108,                0.48954,                0.37414,                0.35905,                0.24369,                 2.4377,                 5.6894,                 3.1761,              0.0097525,              0.0097525,              0.0097525
                      7,                 2.3596,                 3.8176,                 2.9769,                0.48566,                0.42881,                0.41703,                 0.2796,                 2.3631,                 4.5532,                 3.0824,               0.009703,               0.009703,               0.009703
                      8,                  2.331,                 3.5465,                 2.9141,                0.50152,                0.45092,                0.43998,                0.30198,                 2.2742,                 4.3243,                 2.9515,              0.0096535,              0.0096535,              0.0096535
                      9,                 2.2771,                 3.4281,                 2.8866,                0.54893,                0.48297,                0.48259,                0.33419,                 2.2455,                 3.6508,                 2.9712,               0.009604,               0.009604,               0.009604
                     10,                 2.2723,                 3.3449,                  2.881,                0.57862,                0.49255,                0.50752,                0.35589,                 2.1931,                 3.5983,                 2.9179,              0.0095545,              0.0095545,              0.0095545
                     11,                   2.25,                 3.2264,                 2.8725,                0.58075,                0.51241,                0.52631,                0.37245,                 2.1624,                 3.3185,                 2.8916,               0.009505,               0.009505,               0.009505
                     12,                 2.2036,                 3.0686,                 2.8166,                 0.5984,                0.52991,                0.54256,                 0.3869,                 2.1429,                 3.2208,                 2.8582,              0.0094555,              0.0094555,              0.0094555
                     13,                 2.1879,                 2.9983,                 2.8036,                0.61576,                0.55007,                0.57567,                0.41026,                 2.0934,                 2.9699,                 2.8051,               0.009406,               0.009406,               0.009406
                     14,                 2.1835,                 2.8981,                 2.7951,                 0.6161,                 0.5394,                0.56498,                0.40548,                 2.1099,                 2.9658,                 2.7986,              0.0093565,              0.0093565,              0.0093565
                     15,                 2.1244,                 2.8904,                 2.7431,                0.64373,                0.55646,                0.58749,                0.42453,                 2.0524,                  3.063,                 2.7719,               0.009307,               0.009307,               0.009307
                     16,                 2.1143,                 2.8006,                 2.7642,                0.64302,                0.57016,                0.60461,                0.43868,                 2.0239,                 2.7253,                 2.7422,              0.0092575,              0.0092575,              0.0092575
                     17,                 2.0847,                 2.7365,                 2.7426,                0.65291,                0.58313,                 0.6205,                0.45226,                 2.0073,                 2.6836,                 2.7396,               0.009208,               0.009208,               0.009208
                     18,                 2.0838,                 2.7186,                 2.7386,                0.66353,                0.58372,                0.62555,                0.45736,                 1.9888,                 2.6061,                 2.7198,              0.0091585,              0.0091585,              0.0091585
                     19,                 2.0734,                 2.6793,                 2.7302,                0.67329,                0.60024,                0.63499,                0.46552,                 1.9878,                 2.5899,                 2.7157,               0.009109,               0.009109,               0.009109
                     20,                 2.0695,                 2.6648,                 2.7197,                 0.6817,                0.60959,                0.64753,                 0.4787,                 1.9429,                  2.549,                 2.6783,              0.0090595,              0.0090595,              0.0090595
                     21,                 2.0736,                 2.5422,                 2.7124,                0.69151,                0.60658,                0.65177,                0.48184,                 1.9371,                 2.5225,                 2.6763,                0.00901,                0.00901,                0.00901
                     22,                 2.0462,                 2.5659,                 2.6979,                 0.7065,                0.61136,                0.66287,                0.49476,                 1.9254,                 2.4354,                 2.6643,              0.0089605,              0.0089605,              0.0089605
                     23,                 2.0267,                 2.4966,                   2.69,                0.71256,                0.61546,                0.67166,                0.50295,                 1.9129,                 2.4668,                 2.6587,               0.008911,               0.008911,               0.008911
                     24,                 2.0039,                 2.4593,                 2.6927,                0.72292,                0.62568,                0.67876,                0.50881,                 1.9033,                 2.3705,                 2.6505,              0.0088615,              0.0088615,              0.0088615
                     25,                 2.0002,                 2.4644,                 2.6766,                 0.7086,                0.62937,                0.67742,                0.50839,                  1.893,                  2.372,                 2.6387,               0.008812,               0.008812,               0.008812
                     26,                  2.025,                 2.4515,                   2.67,                0.71633,                0.62743,                0.68604,                0.51608,                 1.8785,                 2.3449,                 2.6244,              0.0087625,              0.0087625,              0.0087625
                     27,                 2.0055,                 2.4329,                 2.6678,                 0.7117,                0.64178,                0.68722,                0.51636,                 1.8774,                 2.3426,                 2.6257,               0.008713,               0.008713,               0.008713
                     28,                 1.9814,                 2.3427,                 2.6554,                0.72637,                0.62746,                0.69471,                0.52442,                 1.8745,                 2.3387,                 2.6189,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.9521,                 2.3295,                 2.6589,                0.71473,                 0.6432,                0.69897,                 0.5288,                 1.8684,                 2.3244,                 2.6187,               0.008614,               0.008614,               0.008614
                     30,                 1.9554,                 2.3105,                 2.6433,                0.72559,                0.64435,                0.70141,                0.53258,                  1.859,                 2.3386,                 2.6079,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.9522,                 2.2923,                  2.637,                0.72545,                0.65078,                0.70499,                0.53575,                 1.8477,                 2.3447,                 2.5957,               0.008515,               0.008515,               0.008515
                     32,                 1.9335,                 2.2546,                  2.624,                0.72513,                 0.6536,                0.70739,                0.53858,                 1.8412,                  2.327,                 2.5878,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.9531,                 2.2904,                 2.6292,                0.72661,                0.65313,                0.70802,                0.53935,                 1.8372,                 2.3272,                  2.587,               0.008416,               0.008416,               0.008416
                     34,                 1.9285,                 2.2174,                  2.623,                0.73527,                0.64901,                0.71061,                0.54092,                 1.8383,                 2.3404,                 2.5896,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.9033,                 2.1788,                 2.6022,                 0.7395,                0.65401,                0.71434,                0.54391,                 1.8349,                 2.3428,                  2.587,               0.008317,               0.008317,               0.008317
                     36,                 1.9118,                 2.1445,                 2.5878,                0.74074,                0.65266,                0.71517,                 0.5453,                 1.8325,                 2.3372,                 2.5849,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.9141,                 2.1959,                 2.6074,                0.74568,                0.65003,                 0.7173,                0.54759,                 1.8274,                 2.3291,                 2.5811,               0.008218,               0.008218,               0.008218
                     38,                 1.9088,                 2.1439,                 2.6011,                0.74122,                0.65641,                0.71846,                0.54904,                 1.8226,                 2.3227,                 2.5771,              0.0081685,              0.0081685,              0.0081685
                     39,                  1.899,                 2.1511,                 2.5882,                0.73551,                0.66078,                0.71963,                0.55034,                 1.8198,                 2.3201,                 2.5748,               0.008119,               0.008119,               0.008119
